lap;time;tyre
1;NaT;M
2;00:01:10.373000;M
3;00:01:10.165000;M
4;00:01:10.128000;M
5;00:01:10.260000;M
6;00:01:10.357000;M
7;00:01:10.559000;M
8;00:01:10.763000;M
9;00:01:10.847000;M
10;00:01:11.396000;M
11;00:01:10.918000;M
12;00:01:11.912000;M
13;00:01:14.194000;M
14;00:01:27.886000;H
15;00:01:10.365000;H
16;00:01:10.024000;H
17;00:01:10.361000;H
18;00:01:10.460000;H
19;00:01:09.895000;H
20;00:01:09:913000;H
21;00:01:09.936000;H
22;00:01:09.846000;H
23;00:01:10.103000;H
24;00:01:10.457000;H
25;00:01:10.715000;H
26;00:01:10.312000;H
27;00:01:10.355000;H
28;00:01:10.572000;H
29;00:01:10.485000;H
30;00:01:10.609000;H
31;00:01:10.897000;H
32;00:01:11.073000;H
33;00:01:11.636000;H
34;00:01:11.190000;H
35;00:01:11.173000;H
36;00:01:14.594000;H
37;00:01:26.913000;M
38;00:01:09.226000;M
39;00:01:09.636000;M
40;00:01:09.809000;M
41;00:01:09.971000;M
42;00:01:09.840000;M
43;00:01:09.863000;M
44;00:01:09.642000;M
45;00:01:09.766000;M
46;00:01:10.104000;M
47;00:01:09.989000;M
48;00:01:10.170000;M
49;00:01:10.244000;M
50;00:01:10.347000;M
51;00:01:10.232000;M
52;00:01:10.193000;M
53;00:01:10.828000;M
54;00:01:10.265000;M
55;00:01:10.109000;M
56;00:01:09.733000;M
57;00:01:09.843000;M
58;00:01:24.577000;M
59;00:01:46.133000;M
60;00:01:09.218000;M
61;00:01:07.804000;M
62;00:01:07.275000;M
63;00:01:07.938000;M
64;00:01:08.700000;M
65;00:01:08.580000;M
66;00:01:08.445000;M
67;00:01:08.537000;M
68;00:01:08.900000;M
69;00:01:08.873000;M
70;00:01:08.169000;M
71;00:01:08.539000;M
